gX,gY,gZ
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-4,0,0
0,0,0
0,0,0
0,0,
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,0
1,2,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,-1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,1,8
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,13
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,18
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,17
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,12
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-1
0,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
-1,0,-21
